STRINGCODE;CAS;KEGG;IAFMODEL;UMBBD;NAME
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){9})))){6})<9>)))<6>O(){2}))))<2>O(P(O(H)O)(N(H)(C(HC(O(H)O))(C(H2)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){7})))))<7>))))));None;C03709;None;None;N-Adenylyl-L-phenylalanine
C(H)(C(H)(C(H)(C(C(H2O(C(ON(HC(H2C(O(H)O)))))))(C(H)(C(H)(){1})))))<1>;1138-80-3;C03710;None;None;N-Benzyloxycarbonylglycine|N-CBZ-glycine
C(H)(C(H)(C(H)(C(C(HO(H)C(H2N(HC(H3)))))(C(H)(C(H)(){1})))))<1>;68579-60-2;C03711;None;None;N-Methylphenylethanolamine
C(H2)(C(H2)(C(HC(O(H)O))(N(H)(C(O)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){6})))))<6>))))C(H2)(N(H)(C(O)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){5})))))<5>))));None;C03712;None;None;N2,N5-Dibenzoyl-L-ornithine|L-Ornithuricacid
(C(H2O(P(O(H)O(H)O)))C(OC(H2O(R))));None;C03715;None;None;O-Alkylglycerone phosphate|Alkyl-glycerone3-phosphate|Dihydroxyacetonephosphate alkyl ether
C(H2C(OC(O(H)O))C(O(C(H3))O));None;C03716;None;None;Oxaloacetate 4-methyl ester
C(H2)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){2})))))<2>C(C(N(H)(C(O)(C(H2)(C(C(H)(C(H)(C(H)(C(H)(C(H)(){7})))))<7>)))N(C(H)(C(C(C(H)(C(H)(C(O(H))(C(H)(C(H)(){7})))))<7>N(){2})))))<2>);None;C03717;None;None;Oxidized Renilla luciferin
C(HO(H)N(HC(RO))C(ON(HR)));None;C03718;None;None;Peptidyl(2-hydroxyglycine)
C(H)(C(H)(C(H)(C(C(H2C(S(H)N(O(H)))))(C(H)(C(H)(){1})))))<1>;None;C03719;None;None;Phenylthioacetohydroximate
C(H)(C(H)(C(O(S(O(H)OO)))(C(H)(C(H)(C(C(H2C(HN(HC(RO))C(ON(HR)))))(){1})))))<1>;None;C03721;None;None;Protein tyrosine-O-sulfate
C(H)(C(H)(C(C(O(H)O))(C(C(O(H)O))(N(C(H)(){1})))))<1>;89-00-9;C03722;quln;None;Pyridine-2,3-dicarboxylate|Quinolinicacid|Quinolinate|2,3-Pyridinedicarboxylicacid
C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(C(HO(H))(C(HO(H))(C(HR)(O(){1}))))<1>;None;C03723;None;None;Ribonucleoside diphosphate
C(H)(C(H)(C(O(H))(O(C(C(S(CoA)O))(){1}))))<1>;None;C03724;None;None;S-(5-Hydroxy-2-furoyl)-CoA
C(H2N(HC(OC(HO(H)C(C(H3)C(H3)C(H2O(P(O(H)O(H)O)))))))C(H2C(ON(HC(H2C(H2S(C(OC(H3)))))))));None;C03725;None;None;S-Acetylphosphopantetheine
(C(H2S(RO))C(HN(H2)C(O(H)O)));None;C03726;None;None;S-Alkyl-L-cysteine S-oxide
(C(H2C(HN(H2)C(O(H)O)))S(C(H2C(O(H)O))));638-23-3;C03727;None;None;S-Carboxymethyl-L-cysteine|L-Carbocisteine
C(H2)(C(H)(C(H)(C(HO(H))(C(HR)(O(){2}))O(P(O(H)O)(O(C(H2)(C(H)(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HR)(O(){8}))))<8>))))))<2>O(P(O(H)O)(O(C(H)(C(HC(H2O(P(O(H)O(H)O))))(O(C(HR)(C(HO(H))(){5}))))<5>))));None;C03730;None;None;Single-stranded nucleotide
C(H)(C(H)(O(C(H)(C(HN(HC(N(H2)N(H))))(C(HO(H))(C(HN(HC(N(H2)N(H))))(C(HO(H))(C(HO(H))(){4})))))<4>)O(C(HC(H3))(C(O(H)C(HO))(){1})))O(C(H)(C(HN(HC(H3)))(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>))<1>;None;C03731;None;None;Streptomycin 3''-phosphate
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(H)(N(C(H)(C(H)(C(O)(N(H)(C(O)(){6})))))<6>O(){2}))))<2>O(P(O(H)O)(O(P(O(H)O)(O(C(H)(C(HO(H))(C(HO(H))(C(HC(HO(H)C(H2O(H))))(O(){7}))))<7>))))));None;C03733;udpgalfur;None;UDP-alpha-D-galacto-1,4-furanose|UDP-D-galacto-1,4-furanose
C(HN(H2)C(O(P(O(H)O(H)O))O)C(H2C(H2C(O(H)O))));None;C03734;None;None;alpha-D-Glutamyl phosphate
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;None;C03735;None;None;alpha-D-Hexose 6-phosphate
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1}))))<1>;None;C03736;None;None;alpha-D-Ribose 5-phosphate
C(H2)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(P(O(H)O(H)O)))(O(){1})))))<1>;None;C03737;None;None;alpha-D-Xylose 1-phosphate
(C(H2C(H2C(HN(H2)C(O(H)O))))C(ON(HC(HC(O(H)O)C(H3)))));None;C03738;None;None;gamma-L-Glutamyl-D-alanine
C(H2)(C(H2)(C(H2)(C(HO(H))(C(HO(H))(C(H2)(){1})))))<1>;1460-57-7;C03739;None;None;trans-Cyclohexane-1,2-diol|trans-1,2-Cyclohexanediol
(C(H2C(H2C(HN(H2)C(O(H)O))))C(ON(HC(HRC(O(H)O)))));None;C03740;None;None;(5-L-Glutamyl)-L-amino acid|L-gamma-Glutamyl-L-aminoacid
C(H2C(HN(H2)C(HO))C(H2C(O(H)O)));None;C03741;glu1sa;None;(S)-4-Amino-5-oxopentanoate|L-Glutamate1-semialdehyde
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(HO(H)C(N)))(){1})))))<1>;None;C03742;None;None;(S)-4-Hydroxymandelonitrile
C(H)(C(O(H))(C(H)(C(O(H))(C(O(H))(C(O(H))(){1})))))<1>;634-94-6;C03743;None;None;1,2,3,5-Tetrahydroxybenzene
C(H2)(C(H2)(C(HC(OC(H3)))(C(C(H3))(C(H2)(C(HO(H))(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){11})))){7})<11>))C(H)(){1,4}))<7>)))<4>)))<1>;80-75-1;C03747;None;None;11alpha-Hydroxyprogesterone
C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){6})))C(H)(C(H2)(C(H2)(C(C(H3))(C(HC(OC(H3)))(C(HO(H))(){1})){2}))){3}))<6>)))<3>)<2>)<1>;438-07-3;C03748;None;None;16alpha-Hydroxyprogesterone|16-alpha-Hydroxyprogesterone
C(H)(C(H)(C(H)(C(C(OC(H2C(H2C(H2C(OC(O(H)O)))))))(C(H)(C(H)(){1})))))<1>;None;C03750;None;None;2,6-Dioxo-6-phenylhexanoate
(C(HO(H)C(HN(H2)C(H2O(H))))C(HO(H)C(HO(H)C(O(H)O))));3646-68-2;C03752;None;None;2-Amino-2-deoxy-D-gluconate|D-Glucosaminate|D-Glucosaminicacid|Glucosaminate
C(H)(C(H)(C(H)(C(C(C(H)(){1}C(O)(C(Cl)(C(H)(C(O)(){4})))))<4>)))<1>;1010-60-2;C03753;None;None;2-Chloro-1,4-naphthoquinone
(C(OC(HC(H3)C(H3)))O(P(O(H)O(H)O)));None;C03754;None;None;2-Methylpropanoyl phosphate|2-Methylpropionylphosphate
C(H)(C(H)(O(C(H)(C(HN(HC(N(H2)N(H))))(C(HO(H))(C(HN(HC(N(H2)N(H))))(C(HO(H))(C(HO(H))(){4})))))<4>)O(C(HC(H3))(C(HC(HO))(){1})))O(C(H)(C(HN(HC(H3)))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>))<1>;None;C03755;None;None;3'-Deoxydihydrostreptomycin
C(HC(H2O(H)))(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HR)(O(){1}))))<1>;None;C03756;None;None;3'-Nucleoside monophosphate
C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(HO(H)C(N)))(){1})))))<1>;None;C03757;None;None;3,4-Dihydroxymandelonitrile
C(H)(C(H)(C(O(H))(C(O(H))(C(H)(C(C(H2C(H2N(H2))))(){1})))))<1>;51-61-6;C03758;dopa;None;4-(2-Aminoethyl)-1,2-benzenediol|4-(2-Aminoethyl)benzene-1,2-diol|3,4-Dihydroxyphenethylamine|Dopamine|2-(3,4-Dihydroxyphenyl)ethylamine
C(O(H)C(H3)C(H2C(O(H)O))C(H2C(O(H)O)));503-49-1;C03761;None;None;3-Hydroxy-3-methylglutarate|3-Hydorxy-3-methylglutaricacid|beta-Hydroxy-beta-methylglutaricacid|Dicrotalicacid|3-Hydroxy-3-methylpentanedioicacid|Meglutol
C(H)(C(H)(N(C(H)(N(C(H2C(OC(O(H)O))))(){1}))))<1>;None;C03762;None;None;3-Imidazole-2-oxopropanoate
C(H)(C(H)(C(H)(C(C(H)(C(H)(){1})N(N(C(C(H)(C(H)(C(N(C(H3)C(H3)))(C(H)(C(H)(){7})))))<7>))))))<1>;60-11-7;C03764;None;None;4-(Dimethylamino)azobenzene|N,N-Dimethyl-4-(phenylazo)benzenamine|Dimethylyellow|Methylyellow|4-(Dimethylamino)phenylazobenzene
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(H2C(HO)))(){1})))))<1>;None;C03765;4hoxpacd;None;4-Hydroxyphenylacetaldehyde|2-(4-Hydroxyphenyl)acetaldehyde
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(C(H2C(N)))(){1})))))<1>;14191-95-8;C03766;None;None;4-Hydroxyphenylacetonitrile|4-Hydroxybenzylcyanide
C(H2)(C(H2)(C(O)(C(H2)(C(H2)(C(HC(O(H)O))(){1})))))<1>;None;C03767;None;None;4-Oxocyclohexanecarboxylate
C(H)(C(H)(C(R)(C(H)(C(H)(C(C(H2C(O(H)O)))(){1})))))<1>;None;C03768;None;None;4-Substituted phenylacetate
C(H2C(H2N(HC(N(H2)N(H))))C(H2C(OC(O(H)O))));None;C03771;None;None;5-Guanidino-2-oxopentanoate|5-Guanidino-2-oxo-pentanoate|2-Oxo-5-guanidinopentanoate|2-Oxo-5-guanidino-pentanoate
C(H2)(C(H2)(C(O)(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(O)(C(H2)(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;1229-12-5;C03772;None;None;5beta-Androstane-3,17-dione
C(HC(H2O(C(OC(H3)))))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(R))(O(){1})))))<1>;None;C03773;None;None;6-Acetyl-beta-D-galactoside
C(H2)(C(H2)(C(HC(HC(H3)C(H2C(H2C(H2C(HC(H3)C(H3)))))))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H)(){1,4}C(HO(H))(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(O)(C(H)(){11})))){7})<11>))))<7>)))<4>)))<1>;None;C03775;None;None;7-Hydroxycholest-4-en-3-one
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HN(HC(OC(H3))))(C(O)(O(){1})))))<1>;None;C03776;None;None;N-Acetyl-D-mannosaminolactone
C(H)(C(H)(C(N[+1](O(H)O))(C(H)(C(H)(C(O(P(O(H)O)(O(C(C(H)(C(H)(C(N[+1](O(H)O))(C(H)(C(H)(){10})))))<10>)))){1})))))<1>;645-15-8;C03779;None;None;Bis-4-nitrophenyl phosphate
None;;C03780;None;None;C03780|Blood coagulation Factor Va|
None;;C03781;None;None;C03781|Complement subcomponent C1s|
(C(HN(H2)C(H3))P(O(H)O(H)O));6323-97-3;C03782;None;None;D-(1-Aminoethyl)phosphonate|D-(1-Aminoethyl)phosphonicacid
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HN(H2))(C(HO(P(O(H)O(H)O)))(O(){1})))))<1>;None;C03783;gam1p;None;D-Galactosamine 1-phosphate
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(O(H)C(H2O(P(O(H)O(H)O))))(O(){1}))))<1>;None;C03785;None;None;D-Tagatose 1,6-bisphosphate
C(H2)(C(HO(H))(C(HC(H2O(P(O(P(O(H)O(H)O))O(H)O))))(O(C(HR)(){1}))))<1>;None;C03786;None;None;Deoxynucleoside diphosphate
None;;C03788;None;None;C03788|Microsomal-membrane protein|
C(HC(H2O(S(O(H)OO))))(C(HO(H))(C(HO(H))(C(HN(HS(O(H)OO)))(C(HO(H))(O(){1})))))<1>;None;C03789;None;None;N,6-O-Disulfo-D-glucosamine|N2,6-Disulfo-D-glucosamine
N(HC(HC(O(H)O)C(H3))C(H2C(O(H)O)));None;C03790;None;None;N-(Carboxymethyl)-D-alanine
None;;C03791;None;None;C03791|N-Acetyl-alpha-melanotropin|
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HN(HC(RO)))(C(O)(O(){1})))))<1>;None;C03792;None;None;N-Acyl-D-mannosaminolactone
C(H2C(H2C(HN(H2)C(O(H)O)))C(H2C(H2N[+1](C(H3)C(H3)C(H3)))));None;C03793;None;None;N6,N6,N6-Trimethyl-L-lysine
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(HC(HC(O(H)O)C(H2C(O(H)O)))))(){5})))){2})<5>)))<2>)<1>;19046-78-7;C03794;dcamp;None;N6-(1,2-Dicarboxyethyl)-AMP|Adenylosuccinate|Adenylosuccinicacid
C(H2)(C(H)(N(C(H)(N(C(C(N(C(H)(N(C(N(HC(H3)))(){6})))){3})<6>)))<3>O(C(HC(H2O(H)))(C(HO(H))(){1}))))<1>;2002-35-9;C03795;None;None;N6-Methyl-2'-deoxyadenosine
###############################################################################################################################################################################################################################################################;None;C03796;None;None;Oleandomycin 2'-O-phosphate
C(H2)(C(O)(N(C(C(N(C(C(H)(C(H)(C(O(H))(C(H)(C(S(){5}){7})))))<7>))<5>S(){1}))))<1>;None;C03797;None;None;Oxidized Photinus luciferin
C(H2)(C(H2)(C(HC(ON(HC(HRC(ON(HC(HRC(ON(HC(HRC(O(H)O)))))))))))(N(H)(C(H2)(){1}))))<1>;None;C03798;None;None;Peptidylproline (omega=180)
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(P(O(H)O(C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))O)))(O(){1})))))<1>;None;C03799;None;None;Polyprenylphosphate-glucose
C(HN(HC(RO))C(ON(HR))C(H2S(C(H3))));None;C03800;None;None;Protein S-methyl-L-cysteine
C(H2)(C(C(H)(N(C(C(C(O)(N(H)(C(N(H2))(N(){5})))N(){2}))<5>)))<2>N(H)(C(C(H)(C(H)(C(C(ON(HC(HC(O(H)O)C(H2C(H2C(ON(HC(HC(ON(HC(HC(O(H)O)C(H2C(H2C(O(H)O))))))C(H2C(H2C(O(H)O))))))))))))(C(H)(C(H)(){3})))))<3>));None;C03801;None;None;Pteroylpoly-gamma-glutamate
C(HC(H2O(P(O(P(O(P(O(H)O(H)O))O(H)O))O(H)O))))(C(HO(H))(C(HO(H))(C(HR)(O(){1}))))<1>;None;C03802;None;None;Ribonucleoside triphosphate
C(HN(HC(RO))C(ON(HR))C(H3));None;C03803;None;None;Ribosomal-protein L-alanine
(C(HO(H)C(H2O(H)))C(S(C(H3))O));None;C03804;None;None;S-Methyl-1-thio-D-glycerate
C(H2C(H2C(H2C(H2C(H2C(O(C(H2C(OC(H2O(P(O(H)O(H)O))))))O)))))C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3)))))))))))));None;C03805;None;None;Stearoylglycerone phosphate
None;;C03806;None;None;C03806|Substituted beta-amino acid|
None;;C03808;None;None;C03808|[Pyruvate kinase] phosphate|
None;;C03809;None;None;C03809|[Tyrosine aminotransferase]|
C(HC(H2O(H)))(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HO(H))(O(){1})))))<1>;None;C03811;None;None;alpha-D-Glucose 3-phosphate
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(P(O(H)O(H)O)))(O(){1})))))<1>;None;C03812;None;None;alpha-D-Mannose 1-phosphate
(C(HC(HR))C(S(CoA)O));None;C03815;None;None;trans-2,3-Didehydroacyl-CoA|trans-Didehydroacyl-CoA
C(HC(O(H)O))(C(HO(*))(C(HO(H))(C(HO(H))(C(HO(H))(O(){1})))))<1>;None;C03816;None;None;(1,4-alpha-D-Galacturonide)n|(1,4-alpha-D-Galacturonide)n-1
C(H)(C(C(H2C(HO(H)C(O(H)O))))(N(H)(C(H)(N(){1}))))<1>;None;C03817;None;None;(S)-3-(Imidazol-5-yl)lactate
C(HO(H))(C(HO(H))(C(HO(H))(C(HO(P(O(H)O(C(H2C(HO(H)C(H2O(C(RO))))))O)))(C(HO(H))(C(HO(H))(){1})))))<1>;None;C03819;None;None;1-Acylglycerophosphoinositol|1-Acyl-sn-glycero-3-phosphoinositol
C(HO(C(OC(H3)))C(H2O(R))C(H2O(H)));None;C03820;None;None;1-Alkyl-2-acetyl-sn-glycerol|2-Acetyl-1-alkyl-sn-glycerol
C(H)(C(H)(C(O(H))(C(H)(C(H)(C(N(C(C(H)(C(Cl)(C(O)(C(Cl)(C(H)(){8})))))<8>)){1})))))<1>;620-45-1;C03822;None;None;2,6-Dichlorophenolindophenol sodium salt|2,6-Dichloroindophenolsodium salt
C(H2C(H2C(H2C(HC(HC(HO(H)C(HN(HC(OC(HRO(H))))C(H2O(H))))))))C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3)))))))))));None;C03823;None;None;2-(2-Hydroxyacyl)sphingosine
(C(HC(HC(HO)))C(HC(N(H2)C(O(H)O))));None;C03824;None;None;2-Aminomuconate semialdehyde|2-Aminomuconate6-semialdehyde
C(H2C(OC(O(H)O))C(HO(H)C(H2O(H))));None;C03826;None;None;2-Dehydro-3-deoxy-D-xylonate|2-Dehydro-3-deoxy-D-arabinonate|2-Dehydro-3-deoxy-D-pentonate
C(H2C(OC(O(H)O))C(HO(H)C(HO(H)C(H3))));None;C03827;None;None;2-Dehydro-3-deoxy-L-fuconate
C(H2)(C(HN(H2))(C(HO(H))(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HN(H2))(){1})))))<1>;None;C03828;None;None;2-Deoxystreptamine phospahte
C(H2C(HN(H2)C(O(H)O))C(H2S(ON(H)C(H3))));None;C03829;None;None;2S,5S-Methionine sulfoximine
C(H)(C(C(H)(C(O(H))(C(H)(C(O(H))(C(C(O)(O(C(C(H3))(){1}))){2})))))<2>)<1>;None;C03830;None;None;3,4-Dehydro-6-hydroxymellein
C(H)(C(H)(C(O(H))(C(I)(C(H)(C(O(C(C(I)(C(H)(C(C(H2C(OC(O(H)O))))(C(H)(C(I)(){8})))))<8>)){1})))))<1>;None;C03832;None;None;3,5,3'-Triiodothyropyruvate|3-[4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodophenyl]-2-oxopropanoate
C(H2C(O(H)O)C(HRO(H)));None;C03834;None;None;3-Hydroxymonocarboxylic acid
C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H)(C(C(H2)(C(HO(H))(C(H2)(C(H2)(C(C(H3))(C(H)(C(H2)(C(H2)(C(C(H3))(C(H2)(){1}){3}))){4}){7})))))<7>)))<4>)<3>))<1>;None;C03836;None;None;3beta-Hydroxy-delta5-steroid
C(H)(C(H)(C(O(C(OC(H3))))(C(H)(C(C(C(C(H3))(C(H)(C(O)(O(){5})))){1})<5>))))<1>;309490;C03837;None;None;4-Methylumbelliferyl acetate
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(HN(HC(OC(H2N(H2)))))(O(){1}))))<1>;None;C03838;gar;None;5'-Phosphoribosylglycinamide|GAR|N1-(5-Phospho-D-ribosyl)glycinamide|Glycinamideribonucleotide
C(H)(C(H)(C(C(C(O(H))(C(H)(){1})C(O)(C(H)(C(H)(C(O)(){3})))))<3>))<1>;481-39-0;C03840;None;None;5-Hydroxy-1,4-naphthoquinone|Juglone
C(H2)(C(HO(H))(C(H)(C(H2)(C(O)(O(C(C(H3))(C(C(H3)C(H3))(){3}){1}))))<3>))<1>;None;C03843;None;None;5-exo-Hydroxy-1,2-campholide
C(HO(C(H3)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(){1})))))<1>;10284-63-6;C03844;None;None;D-Pinitol|1D-3-O-Methyl-chiro-inositol|5D-5-O-Methyl-chiro-inositol
C(H2)(C(H2)(C(HC(HC(H3)C(H2C(H2C(H2C(HC(H3)C(H3)))))))(C(C(H3))(C(H2)(C(H2)(C(C(C(H3))(C(H2)(C(H2)(C(HO(H))(C(H2)(C(H)(C(H2)(C(H2)(C(C(H)(){1,4}){7}))){8})))))<8>)<7>)))<4>)))<1>;566-97-2;C03845;None;None;5alpha-Cholest-8-en-3beta-ol|Zymostenol|Cholestenol
(C(H2C(H2N(HC(OC(H3)))))C(H2C(HN(H2)C(H2C(O(H)O)))));None;C03846;None;None;6-Acetamido-3-aminohexanoate
C(HC(H2O(P(O(H)O(H)O))))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(R))(O(){1})))))<1>;None;C03847;None;None;6-Phospho-beta-D-galactoside
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(C(H2O(H)))(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){7})))))<7>)O(){2}))))<2>O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){3})))))<3>));470-57-5;C03848;None;None;6F-alpha-D-Galactosylsucrose|Planteose
None;;C03849;None;None;C03849|Acyl-sn-glycerol 3-phosphate|
C(H)(C(HO(P(O(H)O(H)O)))(C(HO(H))(C(HC(H2O(P(O(H)O(H)O))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;3805-37-6;C03850;None;None;Adenosine 2',5'-bisphosphate
C(H)(C(HO(H))(C(HO(H))(C(HC(H2O(P(O(H)ON(H2)))))(O(){1})))N(C(H)(N(C(C(N(C(H)(N(C(N(H2))(){5})))){2})<5>)))<2>)<1>;None;C03851;None;None;Adenosine 5'-phosphoramidate
C(H2)(C(H2)(C(HO(H))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H2)(C(H)(C(H2)(C(HO(H))(C(H2)(C(H2)(C(C(H3))(){7,11})))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C03852;None;None;Androstan-3alpha,17beta-diol
C(HO(H)C(H2O(P(O(H)O(C(H2C(HO(H)C(H2O(H)))))O)))C(H2O(P(O(H)O(C(H2C(HO(H)C(H2O(H)))))O))));None;C03853;None;None;Bis(glycerophospho)-glycerol
C(H2)(C(H2)(C(HC(HC(H3)C(H2C(H2C(H2C(HC(H3)C(H3)))))))(C(C(H3))(C(H2)(C(H2)(C(H)(C(H)(C(H2)(C(H)(C(C(H2)(C(H)(C(H2)(C(H2)(C(C(H3))(){7,11}))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){15})))))<15>))))<11>))C(H)(){1,4}))<7>)))<4>)))<1>;None;C03855;None;None;Cholesteryl-beta-D-glucoside
None;;C03856;None;None;C03856|Complement subcomponent C1s-|
C(H2)(C(H)(C(HO(H))(C(HO(H))(C(O(H)C(H2O(H)))(O(){2}))))<2>O(C(H2)(C(O(H))(C(HO(H))(C(HO(H))(C(HC(H2O(H)))(O(){4}))))<4>)));None;C03857;None;None;D-Fructosyl-D-fructofuranose
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(C(H2C(HN(H2)C(HO(H)C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H2C(H3))))))))))))))))))))(O(){1})))))<1>;None;C03858;None;None;D-Glucosyldihydrosphingosine
None;;C03859;None;None;C03859|D-Glucosyllipopolysaccharide|
C(H)(C(H)(C(H)(C(HN(HC(OC(H2C(HN(H2)C(H2C(H2N(C(N(H2)N(H))C(H3)))))))))(C(HC(O(H)O))(O(){1}))))N(C(H)(C(H)(C(O)(N(H)(C(O)(){2})))))<2>)<1>;None;C03860;None;None;Deaminohydroxyblasticidin S
C(H)(C(H)(C(H)(C(C(C(H)(){1}O(C(C(H)(C(O)(C(O)(C(H)(C(O(){4}){7})))))<7>)))<4>)))<1>;None;C03861;None;None;Dibenzo[1,4]dioxin-2,3-dione
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(P(O(H)O(C(H2C(H2C(HC(H3)C(H2C(H2C(HC(C(H3)C(H2C(H2C(HC(C(H3)C(H3)))))))))))))O)))(O(){1})))))<1>;None;C03862;None;None;Dolichyl phosphate D-mannose|DolichylD-mannosyl phosphate
C(H2C(O(C(H2C(H3)))O)C(HO(H)C(H2C(H2C(H3)))));None;C03864;None;None;Ethyl (R)-3-hydroxyhexanoate
C(H2C(O(C(H2C(H3)))O)C(HO(H)C(H2C(H2C(H3)))));None;C03865;None;None;Ethyl (S)-3-hydroxyhexanoate
None;;C03866;None;None;C03866|Glucuronoxylan D-glucuronate|Glucuronoxylan|
None;;C03867;None;None;C03867|High-mannose oligosaccharide|
C(H2)(C(C(H)(N(H)(C(C(H)(C(H)(C(H)(C(H)(C(){2,5})))))<5>)))<2>C(O)(O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(C(HO(H))(){4})))))<4>)));None;C03868;None;None;Indole-3-acetyl-myo-inositol|Indol-3-ylacetyl-myo-inositol|Indole-3-ylacetyl-myo-inositol
C(H)(C(H)(O(C(C(O(H))(C(H)(C(C(C(O(H))(){4}C(O)(C(H)(C(C(C(H)(C(H)(C(O(H))(C(O(H))(C(H)(){12})))))<12>O(){7})))))<7>)))<4>)O(C(HC(H2O(H)))(C(HO(H))(C(HO(H))(){1}))))O(C(H)(C(HO(H))(C(HO(H))(C(HO(H))(C(HC(H3))(O(){3})))))<3>))<1>;None;C03870;None;None;Isoorientin 2''-O-rhamnoside
C(H2C(H2C(OC(O(H)O)))C(H2C(HN(H2)C(O(H)O))));None;C03871;None;None;L-2-Amino-6-oxoheptanedioate|L-2-Amino-6-oxopimelate
(O(C(H2C(HN(H2)C(O(H)O))))P(O(H)O(C(H2C(H2N(H2))))O));None;C03872;None;None;L-Serine-phosphoethanolamine|Serinephosphoethanolamine
C(H2C(H2C(H2C(O(C(H2C(HO(C(RO))C(H2O(P(O(H)O(C(H2C(H2N[+1](C(H3)C(H3)C(H3)))))O))))))O)))C(H2C(H2C(H2C(H2C(HC(HC(H2C(HC(HC(H2C(H2C(H2C(H2C(H3)))))))))))))));None;C03873;None;None;Linoleoylphosphatidylcholine|2-Acyl-1-linoleoyl-sn-glycero-3-phosphocholine
None;;C03874;None;None;C03874|Myosin heavy-chain phosphate|
None;;C03875;None;None;C03875|Myosin light chain phosphate|Myosinlight-chain phosphate|
C(HC(H2O(H)))(C(HO(H))(C(HO(H))(C(HN(HC(OC(H3))))(C(HO(H))(O(){1})))))<1>;None;C03878;None;None;N-Acetyl-beta-D-glucosamine
